fip_code
48061
48489
48261
48273
48355
48409
48391
48007
48057
48469
48239
48321
48039
48167
48201
48071
48245
22023
22113
22045
22101
22109
22057
22051
22075
22071
22087
22105
22103
22089
22095
28059
28045
28047
01003
01097
