fip_code
12003
12005
12009
12011
12013
12015
12017
12019
12021
12027
12029
12031
12033
12035
12037
12039
12041
12043
12045
12049
12051
12053
12057
12059
12061
12063
12065
12067
12069
12071
12073
12075
12077
12079
12081
12083
12085
12086
12087
12089
12091
12093
12095
12097
12099
12101
12103
12105
12107
12109
12111
12113
12115
12117
12119
12121
12123
12127
12129
12131
12133
1061
1039
1053
1129
1099
1025
28039
28109
28131
28091
28073
28147
28157
28113
28005
22001
22005
22007
22009
22011
22019
22033
22037
22039
22047
22053
22055
22063
22077
22079
22085
22091
22093
22097
22099
22115
22117
22121
22125
48215
48427
48479
48131
48247
48249
48047
48297
48025
48123
48175
48285
48149
48089
48477
48473
48157
48481
48015
48291
48351
48361
48241
48457
