fip_code,state_fip
48025, 48
48039, 48
48047, 48
48057, 48
48061, 48
48071, 48
48089, 48
48123, 48
48131, 48
48149, 48
48157, 48
48167, 48
48175, 48
48201, 48
48215, 48
48239, 48
48241, 48
48245, 48
48247, 48
48249, 48
48261, 48
48273, 48
48285, 48
48291, 48
48297, 48
48321, 48
48351, 48
48355, 48
48361, 48
48391, 48
48409, 48
48427, 48
48457, 48
48469, 48
48473, 48
48477, 48
48479, 48
48481, 48
48489, 48
51001, 51
51007, 51
51011, 51
51013, 51
51029, 51
51033, 51
51036, 51
51041, 51
51049, 51
51053, 51
51057, 51
51059, 51
51061, 51
51065, 51
51073, 51
51075, 51
51085, 51
51087, 51
51093, 51
51095, 51
51097, 51
51099, 51
51101, 51
51103, 51
51109, 51
51115, 51
51119, 51
51127, 51
51131, 51
51133, 51
51135, 51
51137, 51
51145, 51
51147, 51
51149, 51
51153, 51
51159, 51
51177, 51
51179, 51
51181, 51
51193, 51
51199, 51
51510, 51
51550, 51
51570, 51
51600, 51
51610, 51
51630, 51
51650, 51
51670, 51
51683, 51
51685, 51
51700, 51
51710, 51
51730, 51
51735, 51
51740, 51
51760, 51
51800, 51
51810, 51
51830, 51
53009, 53
53011, 53
53015, 53
53027, 53
53029, 53
53031, 53
53033, 53
53035, 53
53041, 53
53045, 53
53049, 53
53053, 53
53055, 53
53057, 53
53059, 53
53061, 53
53067, 53
53069, 53
53073, 53
55003, 55
55007, 55
55009, 55
55015, 55
55029, 55
55031, 55
55037, 55
55039, 55
55041, 55
55051, 55
55059, 55
55061, 55
55071, 55
55075, 55
55078, 55
55079, 55
55083, 55
55087, 55
55089, 55
55101, 55
55115, 55
55117, 55
55131, 55
